target_index,source,d_H,d_L,N,L_c,nominal_valid,robust_valid,yield_rate,nominal_mse,nominal_peak_shift,nominal_missing_peaks,nominal_false_peaks,robustness_mse_mean,robustness_peak_shift_mean,robustness_missing_peak_mean,robustness_false_peak_mean
46328,json_best_candidate_46328,317.0393981933594,827.5549926757812,9,3290.314208984375,False,False,0.05,0.0029921493763485885,33.63359375,0,0,0.002814222710090222,31.60051398383246,0.6,0.55
61168,json_best_candidate_61168,189.57684326171875,611.0619506835938,8,1352.421142578125,False,False,0.06666666666666667,0.00687554568306858,6.005859375,0,1,0.0068840003910833085,21.9464641067217,0.11666666666666667,0.85
2062,json_best_candidate_2062,310.2464294433594,818.39306640625,4,1759.4989013671875,True,True,0.6833333333333333,0.0004046761473929266,8.008056640625,0,0,0.0011120624244856942,12.912906901041667,0.0,0.2
86669,json_best_candidate_86669,278.3692321777344,828.3047485351562,5,1462.6590576171875,True,True,0.7833333333333333,0.00024310687049028105,2.001953125,0,0,0.0006715920745436933,11.444767252604167,0.0,0.0
49326,json_best_candidate_49326,300.3226013183594,887.22412109375,6,3563.074951171875,True,True,0.9166666666666666,0.0002030482824590577,4.003955078125,0,0,0.0009038535436071898,9.24423095703125,0.06666666666666667,0.03333333333333333
10136,json_best_candidate_10136,310.1235046386719,945.3589477539062,7,1886.6002197265625,True,True,0.95,0.00028191151943284995,1.50152587890625,0,0,0.0018542052144761257,9.300986735026042,0.0,0.0
71791,json_best_candidate_71791,180.7876739501953,614.4612426757812,9,2526.88818359375,True,False,0.45,0.0006251376034209642,4.00390625,0,0,0.004551102092883401,16.216194661458335,0.1,0.3333333333333333
9276,json_best_candidate_9276,344.31573486328125,895.8161010742188,9,3600.92919921875,True,False,0.23333333333333334,0.0018103980945537025,9.342664930555555,0,0,0.002852878187388358,10.554179398471085,0.9,0.23333333333333334
45755,json_best_candidate_45755,263.085205078125,937.6802368164062,3,4778.9169921875,False,False,0.0,0.004649024021584446,46.0458984375,1,2,0.004773186655934443,42.37564595540365,1.2,1.7833333333333334
86349,json_best_candidate_86349,201.77664184570312,636.2489013671875,7,3620.250244140625,False,False,0.11666666666666667,0.0005524455665635467,22.02197265625,0,0,0.0013997701771215458,23.056404622395835,0.6166666666666667,0.4
42577,json_best_candidate_42577,271.7904968261719,763.70068359375,6,1880.911865234375,True,True,0.8666666666666667,0.000363472919089169,2.001953125,0,0,0.0005873482244389829,10.217137830010776,0.03333333333333333,0.0
62383,json_best_candidate_62383,247.5089874267578,854.2447509765625,9,4737.24609375,True,False,0.4166666666666667,0.00010647150635407879,13.0130615234375,0,0,0.00013022704618425739,14.397731526692708,0.45,0.0
909,json_best_candidate_909,268.36846923828125,851.9443359375,9,1766.255615234375,True,True,0.6666666666666666,0.00037746293442206616,15.0150146484375,0,0,0.00048023541083385356,16.483158365885416,0.0,0.0
64128,json_best_candidate_64128,317.8927001953125,937.5096435546875,8,1995.6611328125,True,False,0.4666666666666667,0.0038500670299840456,18.418359375,0,0,0.004468029793832558,20.130134480794265,0.05,0.016666666666666666
