target_index,source,d_H,d_L,N,L_c,nominal_valid,robust_valid,yield_rate,nominal_mse,nominal_peak_shift,nominal_missing_peaks,nominal_false_peaks,robustness_mse_mean,robustness_peak_shift_mean,robustness_missing_peak_mean,robustness_false_peak_mean
188,csv_mse_188,262.9906921386719,737.1466674804688,10,4012.140380859375,False,False,0.0,0.013639121843206379,10.010009765625,3,0,0.012608840475932274,18.176520453559025,2.35,0.016666666666666666
229,csv_mse_229,316.6695556640625,839.6632690429688,5,3291.84716796875,True,False,0.16666666666666666,0.009112451803631466,15.615673828125,0,0,0.014032582672432934,16.5449159749349,0.21666666666666667,0.5833333333333334
909,csv_mse_909,277.6852111816406,781.9653930664062,9,1529.9757080078125,True,False,0.11666666666666667,0.006262458103851163,9.342692057291666,0,0,0.008761466198183574,9.59291042751736,0.016666666666666666,1.4333333333333333
2062,csv_mse_2062,294.17669677734375,785.4277954101562,4,3770.560302734375,True,True,0.6833333333333333,0.0019543148039195338,5.338704427083333,0,0,0.0056248235059004805,10.01557820638021,0.1,0.11666666666666667
3961,csv_mse_3961,331.0196533203125,870.8041381835938,4,1724.3372802734375,False,False,0.0,0.0011614489416721717,6.0059814453125,2,2,0.004966782141227642,11.619967312282986,1.4,1.95
8036,csv_mse_8036,273.8992004394531,746.2587890625,5,4581.79736328125,True,True,0.5833333333333334,0.007246304441409758,17.350667317708332,0,0,0.00853814177717721,17.233888075086803,0.18333333333333332,0.18333333333333332
9276,csv_mse_9276,332.7449951171875,853.4498291015625,9,3540.882568359375,True,False,0.1,0.008559040448618467,8.008034446022727,0,0,0.012711882137538148,9.560038943306767,0.65,0.4
10136,csv_mse_10136,312.072021484375,890.0342407226562,7,1748.534423828125,True,False,0.2,0.0053702780790458905,8.008056640625,0,0,0.008453904587342157,9.83485819498698,0.0,0.95
11728,csv_mse_11728,239.22821044921875,567.6053466796875,3,1332.804931640625,False,False,0.0,0.00907140994720381,nan,2,1,0.009127607443790452,,2.0,1.0
12613,csv_mse_12613,296.24237060546875,872.0665283203125,9,1594.20068359375,True,False,0.08333333333333333,0.0009379918014666171,0.50048828125,0,0,0.007750177763069809,7.907909138997396,0.0,2.1
16293,csv_mse_16293,285.91644287109375,943.5803833007812,6,3308.518310546875,True,False,0.35,0.006868287810591264,12.41240234375,0,0,0.010523099269550926,14.80644816080729,0.08333333333333333,0.21666666666666667
16958,csv_mse_16958,200.4754180908203,622.7830810546875,4,2422.07568359375,True,True,0.7833333333333333,0.007421690806421255,0.0,0,0,0.007500536674006673,9.27850811298077,0.13333333333333333,0.0
19847,csv_mse_19847,325.7207336425781,782.5602416992188,4,1774.4112548828125,False,False,0.0,0.0022800698643080457,10.010009765625,1,1,0.006051602732596986,14.97052646213108,1.8,1.0166666666666666
20814,csv_mse_20814,232.53350830078125,602.8551025390625,2,1139.5806884765625,True,True,0.5166666666666667,0.004645657880398063,18.01806640625,0,0,0.0056497964474425955,19.409361758474578,0.016666666666666666,0.016666666666666666
22242,csv_mse_22242,302.3794250488281,831.20849609375,8,1689.4736328125,True,False,0.15,0.007000545090615655,10.010009765625,0,0,0.012151566328996296,11.711705525716146,0.0,1.35
29756,csv_mse_29756,212.75392150878906,589.0404052734375,6,3625.524169921875,True,True,0.6,0.003129191237485446,10.01025390625,0,0,0.003779820062484028,15.982074284957626,0.016666666666666666,0.016666666666666666
29927,csv_mse_29927,306.3168029785156,818.5996704101562,8,3132.9013671875,True,False,0.06666666666666667,0.009105890163925563,9.009114583333334,0,0,0.012980599391932534,11.00545884874132,0.35,0.7
