target_index,parameter,delta,base_mse,perturbed_mse,delta_mse,base_peak_shift_nm,perturbed_peak_shift_nm,delta_peak_shift_nm,perturbed_missing_peaks,perturbed_false_peaks
46328,d_H,5.0,8.563303766703629e-05,0.0024619247030197885,0.002376291665352752,3.203173828125,24.0240234375,20.820849609375,0,1
46328,d_L,5.0,8.563303766703629e-05,0.000464045338154664,0.0003784123004876277,3.203173828125,8.408349609375,5.2051757812499995,0,0
46328,L_c,5.0,8.563303766703629e-05,0.00010180754636259377,1.6174508695557477e-05,3.203173828125,3.60361328125,0.40043945312499973,0,0
46328,N,1.0,8.563303766703629e-05,0.0029975894561655053,0.002911956418498469,3.203173828125,18.81884765625,15.615673828125,0,1
61168,d_H,5.0,0.0029239990317899093,0.013954886532445348,0.011030887500655439,12.01220703125,nan,nan,1,1
61168,d_L,5.0,0.0029239990317899093,0.008402655728498028,0.005478656696708118,12.01220703125,36.0361328125,24.02392578125,0,0
61168,L_c,5.0,0.0029239990317899093,0.0029304754446252807,6.476412835371408e-06,12.01220703125,12.01220703125,0.0,0,0
61168,N,1.0,0.0029239990317899093,0.01354041855023867,0.010616419518448762,12.01220703125,16.015625,4.00341796875,0,1
2062,d_H,5.0,0.0004883202219714848,0.004363037981025083,0.0038747177590535984,14.013916015625,40.0400390625,26.026123046875,0,1
2062,d_L,5.0,0.0004883202219714848,0.0012710490517746172,0.0007827288298031324,14.013916015625,22.02197265625,8.008056640625,0,1
2062,L_c,5.0,0.0004883202219714848,0.0005036674432811917,1.5347221309706862e-05,14.013916015625,14.013916015625,0.0,0,0
2062,N,1.0,0.0004883202219714848,0.017503573181413976,0.017015252959442492,14.013916015625,nan,nan,1,2
86669,d_H,5.0,0.00023411141087395732,0.0010681760005106635,0.0008340645896367061,2.001953125,22.02197265625,20.02001953125,0,0
86669,d_L,5.0,0.00023411141087395732,0.00022306013592806443,-1.105127494589289e-05,2.001953125,8.008056640625,6.006103515625,0,0
86669,L_c,5.0,0.00023411141087395732,0.00022693028900993255,-7.181121864024769e-06,2.001953125,2.001953125,0.0,0,0
86669,N,1.0,0.00023411141087395732,0.005133896994832391,0.004899785583958433,2.001953125,40.0400390625,38.0380859375,0,1
49326,d_H,5.0,0.00013593819867160719,0.004437212542203587,0.00430127434353198,4.404443359375,26.42646484375,22.022021484375003,0,0
49326,d_L,5.0,0.00013593819867160719,0.0011418633993574218,0.0010059252006858147,4.404443359375,12.41240234375,8.007958984375,0,0
49326,L_c,5.0,0.00013593819867160719,0.0001709940616366123,3.50558629650051e-05,4.404443359375,5.205224609375,0.80078125,0,0
49326,N,1.0,0.00013593819867160719,0.007164515359806063,0.007028577161134456,4.404443359375,21.354736328125,16.95029296875,2,2
