method,target_index,calls,elapsed_seconds,d_H,d_L,N,L_c,mse,mae,max_abs_error,correlation,spectral_overlap,target_peak_count,pred_peak_count,missing_peak_count,false_peak_count,mean_peak_shift,mean_peak_transmission_error,mean_fwhm_error,mean_q_error,nominal_valid,objective,objective_score,optimizer_best_score,success,message
cma,9282,320,89.94932293891907,301.77981195413076,701.3918664993207,9,3355.8974768148273,0.0007087394246644162,0.007993772165729156,0.15862081944942474,0.925806238177507,0.9320153843712963,2,2,0,0,11.010986328125,0.09628890454769135,4.458360136985153,19.6371980791848,True,physics_score,0.0018098380574769163,0.0018098380574769163,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=4."
cma,10142,320,77.84912896156311,345.7525254881123,763.659531654753,5,943.1012230101041,0.018502612680138416,0.06569659009536787,0.48301730304956436,0.8000583117693214,0.8514292144511781,6,4,2,0,30.530517578125,0.21515122056007385,34.227224283012625,48.59792720128903,False,physics_score,0.04155566443795092,0.04155566443795092,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=1."
cma,11738,320,83.57382607460022,775.9657498754269,997.8336558493019,2,4736.170326020218,0.010279542106112252,0.05686574010222103,0.534823302179575,0.9236617429691113,0.9502725882076641,4,5,1,2,30.029947916666668,0.09918906291325887,48.67341001341871,64.44528274067561,False,physics_score,0.033282536897778915,0.033282536897778915,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=2."
cma,12620,320,74.89848303794861,160.0817273571002,952.8575334743094,7,4503.311609787963,8.388525384675107e-05,0.00171687168930003,0.07807282358407974,0.9751676556119461,0.9759421858136086,1,1,0,0,6.006103515625,0.07567640393972397,12.187164768606067,15.591861060689773,True,physics_score,0.0006844956054092511,0.0006844956054092511,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=2."
cma,20823,320,84.50868797302246,187.96825946316034,1126.9556886568698,4,4559.591762543716,0.018181218399284823,0.06417144841513814,0.5503013598119164,0.6483784467667232,0.6925401576954998,2,3,0,1,25.02490234375,0.15379617363214493,26.323622350526318,20.11144351716425,False,physics_score,0.025683708633659826,0.025683708633659826,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=2."
cma,22254,320,79.20605397224426,282.97369280473686,715.4690781066602,3,2065.578307581737,0.0033558163003350986,0.01243306967049981,0.3332226686179638,0.6605254992458403,0.680063093373248,1,1,0,0,34.033935546875,0.26141923666000366,14.762897619129856,43.204537155082505,False,physics_score,0.006759209855022598,0.006759209855022598,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=4."
cma,29774,320,83.64311909675598,336.59001519054056,462.1815028127057,4,3059.3465324792846,0.006685682375093472,0.036446213148094216,0.41893262479425175,0.624379084340848,0.6310005594199486,2,0,2,0,nan,nan,nan,nan,False,physics_score,0.03168568237509347,0.03168568237509347,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=3."
cma,29958,320,80.02934002876282,183.24049684074419,599.262718627237,6,3496.8557441837283,0.0070807477852010215,0.033490573626395674,0.42720815539360046,0.8863808867052182,0.9081856694950318,3,3,0,0,25.358561197916668,0.04965628186861674,14.505679646786362,48.44822650658565,False,physics_score,0.009616603904992688,0.009616603904992688,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=1."
cma,30639,320,70.00986289978027,121.66815572038381,1165.0227894714271,4,3085.2822788037215,0.0053728718271977925,0.027078211871158147,0.385422483086586,0.9137633630513037,0.9309914650142561,2,2,1,1,12.011962890625,0.05793190002441406,65.49330227949794,17.42886525923965,False,physics_score,0.021574068116260295,0.021574068116260295,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=1."
cma,35587,320,84.77450394630432,243.12239394398003,1055.151694978884,8,4274.161813587571,0.006250555899089461,0.037043196545739294,0.2962667907704599,0.7962663441574057,0.8451324290183037,4,4,0,0,31.531494140625,0.0465594157576561,16.196183947374813,24.184193328670908,False,physics_score,0.009403705313151961,0.009403705313151961,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=3."
cma,37353,320,81.17693185806274,458.19577714033994,1261.6945378505543,6,2480.772541457751,0.037423117238576616,0.14350944656960202,0.4766809642314911,0.7514612435478768,0.9151913225999111,5,11,0,6,23.623681640625,0.08681958317756652,110.02589031814725,36.66062073324808,False,physics_score,0.06978548540263911,0.06978548540263911,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=2."
cma,37737,320,84.92892789840698,291.075277434932,682.5235034069942,4,4326.9720687593,0.0011996060681920323,0.009988986036372133,0.19329391419887543,0.9784407582150312,0.9793083093456759,0,0,0,0,nan,nan,nan,nan,True,physics_score,0.0011996060681920323,0.0011996060681920323,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=1."
cma,39937,320,86.95362687110901,229.36019255120334,739.608734173876,6,2934.5648613352228,1.4739286462265924e-11,1.10622876660082e-06,3.219772837326218e-05,0.04385014234329233,0.130267440669452,0,0,0,0,nan,nan,nan,nan,True,physics_score,1.4739286462265924e-11,1.4739286462265924e-11,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=1."
cma,42240,320,67.11329913139343,845.1014877873164,646.0885994429557,4,4004.876855973453,0.013642285958884596,0.05322232667429665,0.4709789086948035,0.8287450964683396,0.8762040464777523,4,7,0,3,15.51556396484375,0.1247621402144432,51.272118364259555,101.80720323684987,False,physics_score,0.03019384235536897,0.03019384235536897,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=2."
cma,45664,320,84.2129340171814,213.85384167672578,727.3558771897451,8,2435.0298945112654,7.578037694405386e-18,8.146696020030196e-10,1.6623478593658092e-08,0.037621296211121716,0.0388697100143034,0,0,0,0,nan,nan,nan,nan,True,physics_score,7.578037694405386e-18,7.578037694405386e-18,False,"pycma bounded CMA-ES completed; restarts=4, popsize=8, best_restart=2."
