target_index,source,d_H,d_L,N,L_c,nominal_valid,robust_valid,yield_rate,nominal_mse,nominal_peak_shift,nominal_missing_peaks,nominal_false_peaks,robustness_mse_mean,robustness_peak_shift_mean,robustness_missing_peak_mean,robustness_false_peak_mean
46328,json_best_candidate_46328,315.0483703613281,830.015869140625,9,3410.8046875,False,False,0.0,0.0030429330680874726,34.034033203125,0,1,0.002825154561581729,30.711265326605904,1.0166666666666666,1.4666666666666666
61168,json_best_candidate_61168,190.80929565429688,608.1329956054688,8,2155.438720703125,False,False,0.03333333333333333,0.004509990442282271,4.00390625,0,1,0.0077902270478492994,17.95014565677966,0.016666666666666666,1.35
2062,json_best_candidate_2062,313.11285400390625,811.1968383789062,4,1805.11376953125,True,True,0.55,0.0004883202219714848,14.013916015625,0,0,0.001135814971152199,15.507001456567796,0.016666666666666666,0.38333333333333336
86669,json_best_candidate_86669,278.9112243652344,826.7048950195312,5,1468.1463623046875,True,True,0.8,0.00023411141087395732,2.001953125,0,0,0.0006678215148305476,11.37802734375,0.0,0.0
49326,json_best_candidate_49326,303.69390869140625,877.189697265625,6,3613.1552734375,True,True,0.9666666666666667,0.00013593819867160719,4.404443359375,0,0,0.0008282661210661568,8.448445638020832,0.0,0.03333333333333333
10136,json_best_candidate_10136,308.4569396972656,949.8577880859375,7,1973.7301025390625,True,True,0.9666666666666667,0.0002664558548676787,2.00201416015625,0,0,0.0016904810488697496,8.675347900390625,0.0,0.0
71791,json_best_candidate_71791,181.835693359375,611.9502563476562,9,2601.27197265625,True,False,0.4166666666666667,0.0017792881189058632,8.008056640625,0,0,0.004849719703083421,17.70103759765625,0.1,0.31666666666666665
9276,json_best_candidate_9276,344.6531982421875,894.1342163085938,9,3591.39111328125,True,False,0.2,0.0013741437970187865,8.00802951388889,0,0,0.0025458721183553436,9.57614415082982,0.9833333333333333,0.25
45755,json_best_candidate_45755,265.54095458984375,932.75048828125,3,4792.0,False,False,0.0,0.004393010254790319,44.0439453125,1,2,0.004528906018931205,40.96399395282452,1.1333333333333333,1.6333333333333333
86349,json_best_candidate_86349,205.06105041503906,625.962158203125,7,3544.742431640625,False,False,0.0,0.0011083466102409527,2.001953125,1,0,0.0017323515757912164,18.618636067708334,1.0,0.2833333333333333
42577,json_best_candidate_42577,275.0765380859375,760.6607055664062,6,1574.488037109375,True,True,0.9333333333333333,0.00022374088354484316,2.001953125,0,0,0.00043819007550083695,9.776444498697916,0.0,0.0
62383,json_best_candidate_62383,243.59326171875,858.6708374023438,9,4729.51806640625,True,True,0.5,1.6724135387798674e-05,4.0040283203125,0,0,5.616118047429821e-05,8.908902994791667,0.5,0.0
909,json_best_candidate_909,266.5074157714844,851.9036254882812,9,2058.0556640625,True,True,0.5333333333333333,0.00029476009876921224,17.0169677734375,0,0,0.0003640161986188126,18.73539835611979,0.0,0.0
64128,json_best_candidate_64128,318.3342590332031,936.2718505859375,8,1992.8714599609375,True,False,0.45,0.003928104927363886,18.81875,0,0,0.004534509821960697,20.332000528971353,0.05,0.016666666666666666
41285,json_best_candidate_41285,280.10345458984375,776.2724609375,7,3164.333740234375,True,True,0.5833333333333334,2.4978443861644942e-05,5.0048828125,0,0,0.0002012444677589316,12.529158528645834,0.25,0.016666666666666666
70807,json_best_candidate_70807,296.2930603027344,804.4111938476562,2,3094.685546875,False,False,0.0,0.0051497960576848065,38.0380859375,1,1,0.005248828468397826,37.65163702713816,1.05,0.6666666666666666
22242,json_best_candidate_22242,307.2747802734375,882.2877807617188,8,1723.0184326171875,True,True,0.9666666666666667,0.00026061562967068474,0.50048828125,0,0,0.0009426538690626686,8.825492011176216,0.016666666666666666,0.0
86219,json_best_candidate_86219,209.17108154296875,614.0997314453125,10,2036.847900390625,False,False,0.0,0.005424935526213651,nan,1,2,0.004677269924836248,32.69921875,0.65,1.3833333333333333
68054,json_best_candidate_68054,248.20620727539062,815.731201171875,10,2359.736572265625,True,True,0.9666666666666667,3.210671249556783e-05,0.0,0,0,3.884375788722848e-05,7.273933919270833,0.0,0.0
30621,json_best_candidate_30621,293.71875,910.1878662109375,8,1622.7322998046875,True,True,0.95,0.00026669062530739233,3.5035400390625,0,0,0.000835785940250094,9.534568277994792,0.0,0.0
8036,json_best_candidate_8036,267.98968505859375,822.99755859375,4,4274.4384765625,True,True,0.8666666666666667,0.0008881119585599002,4.00390625,0,0,0.0010341055340600054,10.610599772135417,0.0,0.0
36767,json_best_candidate_36767,293.82073974609375,981.9521484375,6,3530.600341796875,True,False,0.45,0.001847078198829204,10.010107421875,0,0,0.0025317504969411945,11.217920735677081,0.5,0.05
229,json_best_candidate_229,335.3117980957031,849.1265258789062,5,3409.66650390625,True,True,0.5333333333333333,0.0011983304187711643,10.81083984375,0,0,0.0029264120202948237,13.900566813151043,0.36666666666666664,0.06666666666666667
41523,json_best_candidate_41523,176.92529296875,602.6122436523438,3,3563.390380859375,False,False,0.0,0.03266747852682115,nan,3,2,0.0317499833688202,,3.0,2.0
29927,json_best_candidate_29927,310.8138122558594,859.3567504882812,8,3286.58984375,True,True,0.6666666666666666,0.0009097431851905825,12.01201171875,0,0,0.0013238079983406514,14.59013407389323,0.21666666666666667,0.03333333333333333
29756,json_best_candidate_29756,206.59486389160156,616.8518676757812,5,3854.436279296875,False,False,0.0,0.0013782870626037206,24.02392578125,1,0,0.0015442456123553787,22.458718039772727,1.0833333333333333,0.05
40033,json_best_candidate_40033,298.974609375,803.9755859375,8,3282.940673828125,False,False,0.0,0.0014616821254260237,26.52655029296875,0,1,0.0014695226148593364,24.2304373703434,1.3,1.0666666666666667
52713,json_best_candidate_52713,274.7594299316406,768.3226928710938,7,3172.020263671875,False,False,0.0,0.0006542522339786426,33.0330810546875,0,0,0.000675581697461042,18.411333356584823,0.6833333333333333,0.5
20814,json_best_candidate_20814,230.31887817382812,568.5638427734375,2,1247.7576904296875,False,False,0.3,0.002737062658281776,26.02587890625,0,0,0.0030936225772753936,24.488717215401785,0.06666666666666667,0.06666666666666667
71950,json_best_candidate_71950,295.9936828613281,700.2827758789062,10,2959.025146484375,True,True,0.6333333333333333,0.00011163984013461373,18.01806640625,0,0,0.0001591462780557943,15.454054447642545,0.05,0.11666666666666667
51988,json_best_candidate_51988,333.373779296875,899.4751586914062,7,1913.2548828125,True,True,0.8333333333333334,0.0011854470331518416,7.507568359375,0,0,0.0033399503601607415,13.263318888346355,0.0,0.08333333333333333
37893,json_best_candidate_37893,284.18212890625,839.913818359375,8,3201.994873046875,True,False,0.06666666666666667,0.00037368011199034906,17.350748697916668,0,0,0.0005212461414782783,20.02004869249132,0.85,0.08333333333333333
12613,json_best_candidate_12613,293.498779296875,929.259765625,9,1676.3253173828125,True,True,0.8,0.00023223630946900587,3.203173828125,0,0,0.0008798148571725317,8.256573079427083,0.16666666666666666,0.016666666666666666
60910,json_best_candidate_60910,278.5863037109375,844.5678100585938,10,4361.2421875,False,False,0.0,0.0007209412723613217,2.002197265625,2,2,0.000675010889736544,7.907883707682291,1.55,1.8166666666666667
188,json_best_candidate_188,275.0907287597656,740.7855224609375,10,3281.837158203125,False,False,0.05,7.669227351315199e-05,32.031982421875,0,1,9.070877603692472e-05,28.21575927734375,0.4666666666666667,0.5833333333333334
92705,json_best_candidate_92705,282.0675048828125,722.8408813476562,4,4117.970703125,False,False,0.0,0.0002994752737906597,nan,1,1,0.0005116589808083273,,1.0,0.9166666666666666
68828,json_best_candidate_68828,271.5321960449219,713.9879760742188,2,3272.067138671875,False,False,0.0,0.0011008907048487373,0.0,1,0,0.0012717576027195027,5.004988606770834,1.0,0.26666666666666666
16293,json_best_candidate_16293,299.3924560546875,966.8765258789062,6,3356.59619140625,True,True,0.8333333333333334,0.0006948986668452986,9.00897216796875,0,0,0.001780634803137224,13.004643758138021,0.0,0.05
41175,json_best_candidate_41175,232.30162048339844,617.4984130859375,3,1025.57861328125,True,True,0.6666666666666666,4.456985226798675e-05,4.00390625,0,0,0.00014443262585896448,14.047355143229167,0.0,0.0
19847,json_best_candidate_19847,338.5143737792969,808.8829956054688,4,1620.502685546875,True,False,0.08333333333333333,0.0016532143421129257,19.352783203125,0,0,0.0028210093338821023,24.819278971354166,0.21666666666666667,0.6666666666666666
94414,json_best_candidate_94414,262.4781799316406,738.8400268554688,6,2781.7158203125,True,True,0.55,4.9230898057695e-05,14.013916015625,0,0,7.71150580756173e-05,14.463373923788266,0.18333333333333332,0.0
16958,json_best_candidate_16958,184.825439453125,577.4577026367188,3,1400.9796142578125,False,False,0.0,0.009025451754593907,nan,1,1,0.009038540971521033,,1.0,1.0
33209,json_best_candidate_33209,252.26303100585938,983.0913696289062,6,1457.8304443359375,True,True,0.7166666666666667,0.0012096567194302902,13.346761067708334,0,0,0.0016662863098990516,14.536783175998263,0.21666666666666667,0.05
35559,json_best_candidate_35559,300.83221435546875,831.7391357421875,4,3054.68115234375,True,False,0.38333333333333336,0.0013003549768750978,18.01806640625,0,0,0.001796294684456845,18.83246987552966,0.016666666666666666,0.21666666666666667
65253,json_best_candidate_65253,293.72125244140625,926.1847534179688,7,1740.357666015625,True,True,0.9,0.00020881216158456344,2.66943359375,0,0,0.0011261736814867807,8.3972900390625,0.0,0.05
45364,json_best_candidate_45364,327.01116943359375,851.5008544921875,10,3500.796875,True,False,0.25,0.0001932387132028563,4.575927734375,0,0,0.0008273544144301768,8.222493935236855,0.7833333333333333,0.43333333333333335
3961,json_best_candidate_3961,324.26434326171875,951.2457275390625,4,1690.1500244140625,False,False,0.0,0.004589068150201657,18.0179443359375,1,1,0.005992483728804516,17.98463338216146,1.0,1.2666666666666666
66405,json_best_candidate_66405,322.9304504394531,996.7618408203125,9,1984.1898193359375,True,True,0.8166666666666667,0.002340368742177459,9.342692057291666,0,0,0.003424684281633771,11.42696967230903,0.08333333333333333,0.016666666666666666
11728,json_best_candidate_11728,232.74795532226562,626.81689453125,3,1507.960205078125,True,True,0.5833333333333334,5.795278084413229e-05,16.01611328125,0,0,0.00011278131634500322,18.15383342161017,0.016666666666666666,0.016666666666666666
65981,json_best_candidate_65981,280.75189208984375,956.5834350585938,10,1892.16748046875,True,False,0.4166666666666667,0.00011584944840828859,3.20322265625,0,0,0.0004934335162913567,7.357366333007813,0.5833333333333334,0.0
